DATE,METAR,STATUS,D,F,FG,WIND_DIR_FROM,WIND_DIR_TO,VRB,V1,VD,MAX_VIS,MAX_VIS_DIR,RUNWAY,RUNWAY_HIGH,RUNWAY_LOW,WEATHER,FEW,SCT,BKN,BKN_2,OVC,VV,Q,RECENT,TCU,CB,TEMP,DEW_POINT
2019-04-01 00:00:00.0,METAR SBSP 010000Z 15007KT 9999 FEW009 BKN013 20/17 Q1020,OK,150.0,7.0,,,,,10000.0,,,,,,,,900.0,,1300.0,,,,1020.0,,,,20.0,17.0
2019-04-01 01:00:00.0,METAR SBSP 010100Z 15008KT 9999 BKN013 20/17 Q1021,OK,150.0,8.0,,,,,10000.0,,,,,,,,,,1300.0,,,,1021.0,,,,20.0,17.0
2019-04-01 02:00:00.0,METAR SBSP 010200Z 14008KT 9999 BKN012 20/17 Q1020,OK,140.0,8.0,,,,,10000.0,,,,,,,,,,1200.0,,,,1020.0,,,,20.0,17.0
2019-04-01 03:00:00.0,METAR SBSP 010300Z  15006KT 9999 FEW033 20/16 Q1019,OK,150.0,6.0,,,,,10000.0,,,,,,,,3300.0,,,,,,1019.0,,,,20.0,16.0
2019-04-01 04:00:00.0,METAR SBSP 010400Z  14006KT CAVOK 20/16 Q1019,OK,140.0,6.0,,,,,10000.0,,,,,,,,,,,,,,1019.0,,,,20.0,16.0
2019-04-01 05:00:00.0,METAR SBSP 010500Z  13005KT 090V160 9999 FEW011 BKN015 20/17 Q1019,OK,130.0,5.0,,90.0,160.0,,10000.0,,,,,,,,1100.0,,1500.0,,,,1019.0,,,,20.0,17.0
2019-04-01 06:00:00.0,METAR SBSP 010600Z  13005KT 9999 SCT013 BKN016 20/16 Q1018,OK,130.0,5.0,,,,,10000.0,,,,,,,,,1300.0,1600.0,,,,1018.0,,,,20.0,16.0
2019-04-01 07:00:00.0,METAR SBSP 010700Z  13004KT 9999 FEW014 19/16 Q1018,OK,130.0,4.0,,,,,10000.0,,,,,,,,1400.0,,,,,,1018.0,,,,19.0,16.0
2019-04-01 08:00:00.0,METAR SBSP 010800Z  15005KT 9999 FEW012 18/16 Q1018,OK,150.0,5.0,,,,,10000.0,,,,,,,,1200.0,,,,,,1018.0,,,,18.0,16.0
2019-04-01 09:00:00.0,METAR SBSP 010900Z 15005KT 9999 FEW013 18/16 Q1019,OK,150.0,5.0,,,,,10000.0,,,,,,,,1300.0,,,,,,1019.0,,,,18.0,16.0
2019-04-01 10:00:00.0,METAR SBSP 011000Z 12003KT CAVOK 19/16 Q1019,OK,120.0,3.0,,,,,10000.0,,,,,,,,,,,,,,1019.0,,,,19.0,16.0
2019-04-01 11:00:00.0,METAR SBSP 011100Z 13005KT 9999 FEW011 21/16 Q1020,OK,130.0,5.0,,,,,10000.0,,,,,,,,1100.0,,,,,,1020.0,,,,21.0,16.0
2019-04-01 12:00:00.0,METAR SBSP 011200Z 10004KT 040V150 9999 FEW017 22/17 Q1020,OK,100.0,4.0,,40.0,150.0,,10000.0,,,,,,,,1700.0,,,,,,1020.0,,,,22.0,17.0
2019-04-01 13:00:00.0,METAR SBSP 011300Z 10006KT 9999 SCT027 23/15 Q1020,OK,100.0,6.0,,,,,10000.0,,,,,,,,,2700.0,,,,,1020.0,,,,23.0,15.0
2019-04-01 14:00:00.0,METAR SBSP 011400Z 14008KT 080V160 9999 BKN030 24/15 Q1020,OK,140.0,8.0,,80.0,160.0,,10000.0,,,,,,,,,,3000.0,,,,1020.0,,,,24.0,15.0
2019-04-01 15:00:00.0,METAR SBSP 011500Z 15006KT 100V190 9999 SCT037 24/15 Q1019,OK,150.0,6.0,,100.0,190.0,,10000.0,,,,,,,,,3700.0,,,,,1019.0,,,,24.0,15.0
2019-04-01 16:00:00.0,METAR SBSP 011600Z 13006KT 100V170 9999 FEW033 BKN047 26/15 Q1019,OK,130.0,6.0,,100.0,170.0,,10000.0,,,,,,,,3300.0,,4700.0,,,,1019.0,,,,26.0,15.0
2019-04-01 17:00:00.0,METAR SBSP 011700Z 17011KT 9999 FEW030 SCT040 25/17 Q1018,OK,170.0,11.0,,,,,10000.0,,,,,,,,3000.0,4000.0,,,,,1018.0,,,,25.0,17.0
2019-04-01 18:00:00.0,METAR SBSP 011800Z 16010KT 9999 FEW025 SCT030 25/17 Q1017,OK,160.0,10.0,,,,,10000.0,,,,,,,,2500.0,3000.0,,,,,1017.0,,,,25.0,17.0
2019-04-01 19:00:00.0,METAR SBSP 011900Z 17012KT 9999 FEW019 SCT030 23/17 Q1018,OK,170.0,12.0,,,,,10000.0,,,,,,,,1900.0,3000.0,,,,,1018.0,,,,23.0,17.0
2019-04-01 20:00:00.0,METAR SBSP 012000Z 15012KT 9999 FEW021 22/17 Q1018,OK,150.0,12.0,,,,,10000.0,,,,,,,,2100.0,,,,,,1018.0,,,,22.0,17.0
2019-04-01 21:00:00.0,METAR SBSP 012100Z 17013KT 9999 FEW017 SCT040 21/16 Q1018,OK,170.0,13.0,,,,,10000.0,,,,,,,,1700.0,4000.0,,,,,1018.0,,,,21.0,16.0
2019-04-01 22:00:00.0,METAR SBSP 012200Z 17013KT 9999 FEW011 SCT015 20/16 Q1019,OK,170.0,13.0,,,,,10000.0,,,,,,,,1100.0,1500.0,,,,,1019.0,,,,20.0,16.0
2019-04-01 23:00:00.0,METAR SBSP 012300Z 16010KT 9999 SCT011 BKN014 19/16 Q1019,OK,160.0,10.0,,,,,10000.0,,,,,,,,,1100.0,1400.0,,,,1019.0,,,,19.0,16.0
2019-04-02 00:00:00.0,METAR SBSP 020000Z 15010KT 9999 FEW011 BKN014 19/16 Q1020,OK,150.0,10.0,,,,,10000.0,,,,,,,,1100.0,,1400.0,,,,1020.0,,,,19.0,16.0
2019-04-02 01:00:00.0,METAR SBSP 020100Z 14006KT 9999 FEW011 SCT014 BKN017 19/16 Q1020,OK,140.0,6.0,,,,,10000.0,,,,,,,,1100.0,1400.0,1700.0,,,,1020.0,,,,19.0,16.0
2019-04-02 02:00:00.0,METAR SBSP 020200Z 12007KT 9999 SCT011 OVC020 19/16 Q1020,OK,120.0,7.0,,,,,10000.0,,,,,,,,,1100.0,,,2000.0,,1020.0,,,,19.0,16.0
2019-04-02 03:00:00.0,METAR SBSP 020300Z  13007KT 9999 SCT012 BKN014 OVC032 19/16 Q1019,OK,130.0,7.0,,,,,10000.0,,,,,,,,,1200.0,1400.0,,3200.0,,1019.0,,,,19.0,16.0
2019-04-02 04:00:00.0,METAR SBSP 020400Z  13005KT 110V170 9999 FEW011 OVC026 19/16 Q1019,OK,130.0,5.0,,110.0,170.0,,10000.0,,,,,,,,1100.0,,,,2600.0,,1019.0,,,,19.0,16.0
2019-04-02 05:00:00.0,METAR SBSP 020500Z  14005KT 9999 FEW010 OVC024 19/16 Q1018,OK,140.0,5.0,,,,,10000.0,,,,,,,,1000.0,,,,2400.0,,1018.0,,,,19.0,16.0
2019-04-02 06:00:00.0,METAR SBSP 020600Z  12005KT 9999 FEW013 BKN025 19/16 Q1018,OK,120.0,5.0,,,,,10000.0,,,,,,,,1300.0,,2500.0,,,,1018.0,,,,19.0,16.0
2019-04-02 07:00:00.0,METAR SBSP 020700Z  14004KT 9999 FEW022 18/15 Q1018,OK,140.0,4.0,,,,,10000.0,,,,,,,,2200.0,,,,,,1018.0,,,,18.0,15.0
2019-04-02 08:00:00.0,METAR SBSP 020800Z  14003KT CAVOK 18/15 Q1018,OK,140.0,3.0,,,,,10000.0,,,,,,,,,,,,,,1018.0,,,,18.0,15.0
2019-04-02 09:00:00.0,METAR SBSP 020900Z VRB02KT CAVOK 18/15 Q1019,OK,,2.0,,,,1.0,10000.0,,,,,,,,,,,,,,1019.0,,,,18.0,15.0
2019-04-02 10:00:00.0,METAR SBSP 021000Z 13003KT 080V170 CAVOK 18/15 Q1019,OK,130.0,3.0,,80.0,170.0,,10000.0,,,,,,,,,,,,,,1019.0,,,,18.0,15.0
2019-04-02 11:00:00.0,METAR SBSP 021100Z 10003KT 050V150 9999 FEW013 20/15 Q1020,OK,100.0,3.0,,50.0,150.0,,10000.0,,,,,,,,1300.0,,,,,,1020.0,,,,20.0,15.0
2019-04-02 12:00:00.0,METAR SBSP 021200Z 12006KT 080V170 9999 FEW013 20/16 Q1021,OK,120.0,6.0,,80.0,170.0,,10000.0,,,,,,,,1300.0,,,,,,1021.0,,,,20.0,16.0
2019-04-02 13:00:00.0,METAR SBSP 021300Z 10006KT 050V160 9999 FEW017 22/16 Q1020,OK,100.0,6.0,,50.0,160.0,,10000.0,,,,,,,,1700.0,,,,,,1020.0,,,,22.0,16.0
2019-04-02 14:00:00.0,METAR SBSP 021400Z 11006KT 040V160 CAVOK 23/16 Q1020,OK,110.0,6.0,,40.0,160.0,,10000.0,,,,,,,,,,,,,,1020.0,,,,23.0,16.0
2019-04-02 15:00:00.0,METAR SBSP 021500Z 16007KT 100V190 9999 FEW033 25/16 Q1019,OK,160.0,7.0,,100.0,190.0,,10000.0,,,,,,,,3300.0,,,,,,1019.0,,,,25.0,16.0
2019-04-02 16:00:00.0,METAR SBSP 021600Z VRB04KT 9999 FEW037 26/16 Q1018,OK,,4.0,,,,1.0,10000.0,,,,,,,,3700.0,,,,,,1018.0,,,,26.0,16.0
2019-04-02 17:00:00.0,METAR SBSP 021700Z 17005KT 120V270 9999 FEW043 27/15 Q1018,OK,170.0,5.0,,120.0,270.0,,10000.0,,,,,,,,4300.0,,,,,,1018.0,,,,27.0,15.0
2019-04-02 18:00:00.0,METAR SBSP 021800Z 17009KT 140V210 9999 FEW047 26/18 Q1017,OK,170.0,9.0,,140.0,210.0,,10000.0,,,,,,,,4700.0,,,,,,1017.0,,,,26.0,18.0
2019-04-02 19:00:00.0,METAR SBSP 021900Z 14008KT CAVOK 25/18 Q1017,OK,140.0,8.0,,,,,10000.0,,,,,,,,,,,,,,1017.0,,,,25.0,18.0
2019-04-02 20:00:00.0,METAR SBSP 022000Z 15011KT CAVOK 23/17 Q1017,OK,150.0,11.0,,,,,10000.0,,,,,,,,,,,,,,1017.0,,,,23.0,17.0
2019-04-02 21:00:00.0,METAR SBSP 022100Z 15010KT CAVOK 21/17 Q1017,OK,150.0,10.0,,,,,10000.0,,,,,,,,,,,,,,1017.0,,,,21.0,17.0
2019-04-02 22:00:00.0,METAR SBSP 022200Z 17009KT 9999 FEW011 20/17 Q1018,OK,170.0,9.0,,,,,10000.0,,,,,,,,1100.0,,,,,,1018.0,,,,20.0,17.0
2019-04-02 23:00:00.0,METAR SBSP 022300Z 16008KT 9999 SCT011 BKN013 20/17 Q1019,OK,160.0,8.0,,,,,10000.0,,,,,,,,,1100.0,1300.0,,,,1019.0,,,,20.0,17.0
2019-04-03 00:00:00.0,METAR SBSP 030000Z 18007KT 9999 SCT009 BKN011 20/17 Q1019,OK,180.0,7.0,,,,,10000.0,,,,,,,,,900.0,1100.0,,,,1019.0,,,,20.0,17.0
2019-04-03 01:00:00.0,METAR SBSP 030100Z 14004KT 090V160 9999 SCT011 19/16 Q1019,OK,140.0,4.0,,90.0,160.0,,10000.0,,,,,,,,,1100.0,,,,,1019.0,,,,19.0,16.0
2019-04-03 02:00:00.0,METAR SBSP 030200Z 11004KT 040V130 9999 FEW013 19/16 Q1018,OK,110.0,4.0,,40.0,130.0,,10000.0,,,,,,,,1300.0,,,,,,1018.0,,,,19.0,16.0
2019-04-03 03:00:00.0,METAR SBSP 030300Z  VRB02KT CAVOK 19/16 Q1017,OK,,2.0,,,,1.0,10000.0,,,,,,,,,,,,,,1017.0,,,,19.0,16.0
2019-04-03 04:00:00.0,METAR SBSP 030400Z  VRB01KT CAVOK 19/16 Q1017,OK,,1.0,,,,1.0,10000.0,,,,,,,,,,,,,,1017.0,,,,19.0,16.0
2019-04-03 05:00:00.0,METAR SBSP 030500Z  06002KT CAVOK 20/16 Q1017,OK,60.0,2.0,,,,,10000.0,,,,,,,,,,,,,,1017.0,,,,20.0,16.0
2019-04-03 06:00:00.0,METAR SBSP 030600Z  14002KT CAVOK 19/16 Q1017,OK,140.0,2.0,,,,,10000.0,,,,,,,,,,,,,,1017.0,,,,19.0,16.0
2019-04-03 07:00:00.0,METAR SBSP 030700Z  05001KT CAVOK 19/16 Q1016,OK,50.0,1.0,,,,,10000.0,,,,,,,,,,,,,,1016.0,,,,19.0,16.0
2019-04-03 08:00:00.0,METAR SBSP 030800Z  VRB02KT CAVOK 19/16 Q1016,OK,,2.0,,,,1.0,10000.0,,,,,,,,,,,,,,1016.0,,,,19.0,16.0
2019-04-03 09:00:00.0,METAR SBSP 030900Z VRB02KT CAVOK 19/16 Q1017,OK,,2.0,,,,1.0,10000.0,,,,,,,,,,,,,,1017.0,,,,19.0,16.0
2019-04-03 10:00:00.0,METAR SBSP 031000Z 06003KT 8000 NSC 19/17 Q1017,OK,60.0,3.0,,,,,8000.0,,,,,,,,,,,,,,1017.0,,,,19.0,17.0
2019-04-03 11:00:00.0,METAR SBSP 031100Z 05003KT 010V110 6000 NSC 21/17 Q1017,OK,50.0,3.0,,10.0,110.0,,6000.0,,,,,,,,,,,,,,1017.0,,,,21.0,17.0
2019-04-03 12:00:00.0,METAR SBSP 031200Z 06004KT 020V130 5000 HZ NSC 22/17 Q1018,OK,60.0,4.0,,20.0,130.0,,5000.0,,,,,,,HZ,,,,,,,1018.0,,,,22.0,17.0
2019-04-03 13:00:00.0,METAR SBSP 031300Z VRB03KT 5000 HZ NSC 23/17 Q1018,OK,,3.0,,,,1.0,5000.0,,,,,,,HZ,,,,,,,1018.0,,,,23.0,17.0
2019-04-03 14:00:00.0,METAR SBSP 031400Z 13003KT 050V190 9000 NSC 26/13 Q1018,OK,130.0,3.0,,50.0,190.0,,9000.0,,,,,,,,,,,,,,1018.0,,,,26.0,13.0
2019-04-03 15:00:00.0,METAR SBSP 031500Z 16005KT 100V200 CAVOK 26/13 Q1017,OK,160.0,5.0,,100.0,200.0,,10000.0,,,,,,,,,,,,,,1017.0,,,,26.0,13.0
2019-04-03 16:00:00.0,METAR SBSP 031600Z 14004KT 060V230 CAVOK 28/12 Q1016,OK,140.0,4.0,,60.0,230.0,,10000.0,,,,,,,,,,,,,,1016.0,,,,28.0,12.0
2019-04-03 17:00:00.0,METAR SBSP 031700Z 18006KT CAVOK 29/11 Q1015,OK,180.0,6.0,,,,,10000.0,,,,,,,,,,,,,,1015.0,,,,29.0,11.0
2019-04-03 18:00:00.0,METAR SBSP 031800Z 12005KT CAVOK 29/11 Q1014,OK,120.0,5.0,,,,,10000.0,,,,,,,,,,,,,,1014.0,,,,29.0,11.0
2019-04-03 19:00:00.0,METAR SBSP 031900Z 27005KT CAVOK 29/10 Q1014,OK,270.0,5.0,,,,,10000.0,,,,,,,,,,,,,,1014.0,,,,29.0,10.0
2019-04-03 20:00:00.0,METAR SBSP 032000Z 23006KT CAVOK 29/11 Q1014,OK,230.0,6.0,,,,,10000.0,,,,,,,,,,,,,,1014.0,,,,29.0,11.0
2019-04-03 21:00:00.0,METAR SBSP 032100Z 15008KT CAVOK 25/18 Q1015,OK,150.0,8.0,,,,,10000.0,,,,,,,,,,,,,,1015.0,,,,25.0,18.0
2019-04-03 22:00:00.0,METAR SBSP 032200Z 16005KT CAVOK 24/17 Q1015,OK,160.0,5.0,,,,,10000.0,,,,,,,,,,,,,,1015.0,,,,24.0,17.0
2019-04-03 23:00:00.0,METAR SBSP 032300Z 14003KT CAVOK 23/15 Q1015,OK,140.0,3.0,,,,,10000.0,,,,,,,,,,,,,,1015.0,,,,23.0,15.0
2019-04-04 00:00:00.0,METAR SBSP 040000Z 11003KT CAVOK 23/16 Q1016,OK,110.0,3.0,,,,,10000.0,,,,,,,,,,,,,,1016.0,,,,23.0,16.0
2019-04-04 01:00:00.0,METAR SBSP 040100Z 11002KT CAVOK 22/16 Q1016,OK,110.0,2.0,,,,,10000.0,,,,,,,,,,,,,,1016.0,,,,22.0,16.0
2019-04-04 02:00:00.0,METAR SBSP 040200Z 05003KT CAVOK 23/16 Q1015,OK,50.0,3.0,,,,,10000.0,,,,,,,,,,,,,,1015.0,,,,23.0,16.0
2019-04-04 03:00:00.0,METAR SBSP 040300Z  06003KT 030V090 CAVOK 23/13 Q1015,OK,60.0,3.0,,30.0,90.0,,10000.0,,,,,,,,,,,,,,1015.0,,,,23.0,13.0
2019-04-04 06:00:00.0,METAR SBSP 040600Z  VRB01KT CAVOK 21/13 Q1014,OK,,1.0,,,,1.0,10000.0,,,,,,,,,,,,,,1014.0,,,,21.0,13.0
2019-04-04 07:00:00.0,METAR SBSP 040700Z  VRB02KT CAVOK 21/13 Q1013,OK,,2.0,,,,1.0,10000.0,,,,,,,,,,,,,,1013.0,,,,21.0,13.0
2019-04-04 08:00:00.0,METAR SBSP 040800Z  VRB02KT CAVOK 20/14 Q1013,OK,,2.0,,,,1.0,10000.0,,,,,,,,,,,,,,1013.0,,,,20.0,14.0
2019-04-04 09:00:00.0,METAR SBSP 040900Z VRB02KT CAVOK 20/14 Q1014,OK,,2.0,,,,1.0,10000.0,,,,,,,,,,,,,,1014.0,,,,20.0,14.0
2019-04-04 10:00:00.0,METAR SBSP 041000Z 05004KT 020V100 CAVOK 21/15 Q1015,OK,50.0,4.0,,20.0,100.0,,10000.0,,,,,,,,,,,,,,1015.0,,,,21.0,15.0
2019-04-04 11:00:00.0,METAR SBSP 041100Z 08005KT 040V130 CAVOK 22/16 Q1015,OK,80.0,5.0,,40.0,130.0,,10000.0,,,,,,,,,,,,,,1015.0,,,,22.0,16.0
2019-04-04 12:00:00.0,METAR SBSP 041200Z 06005KT 020V100 CAVOK 23/16 Q1016,OK,60.0,5.0,,20.0,100.0,,10000.0,,,,,,,,,,,,,,1016.0,,,,23.0,16.0
2019-04-04 13:00:00.0,METAR SBSP 041300Z 07004KT 030V110 CAVOK 26/16 Q1016,OK,70.0,4.0,,30.0,110.0,,10000.0,,,,,,,,,,,,,,1016.0,,,,26.0,16.0
2019-04-04 14:00:00.0,METAR SBSP 041400Z VRB03KT CAVOK 28/14 Q1015,OK,,3.0,,,,1.0,10000.0,,,,,,,,,,,,,,1015.0,,,,28.0,14.0
2019-04-04 15:00:00.0,METAR SBSP 041500Z VRB04KT CAVOK 29/13 Q1014,OK,,4.0,,,,1.0,10000.0,,,,,,,,,,,,,,1014.0,,,,29.0,13.0
2019-04-04 16:00:00.0,METAR SBSP 041600Z VRB05KT CAVOK 30/14 Q1014,OK,,5.0,,,,1.0,10000.0,,,,,,,,,,,,,,1014.0,,,,30.0,14.0
2019-04-04 17:00:00.0,METAR SBSP 041700Z 33008KT CAVOK 31/11 Q1013,OK,330.0,8.0,,,,,10000.0,,,,,,,,,,,,,,1013.0,,,,31.0,11.0
2019-04-04 18:00:00.0,METAR SBSP 041800Z 32008KT CAVOK 31/14 Q1013,OK,320.0,8.0,,,,,10000.0,,,,,,,,,,,,,,1013.0,,,,31.0,14.0
2019-04-04 19:00:00.0,METAR SBSP 041900Z 33009KT CAVOK 31/13 Q1013,OK,330.0,9.0,,,,,10000.0,,,,,,,,,,,,,,1013.0,,,,31.0,13.0
2019-04-04 20:00:00.0,METAR SBSP 042000Z 31006KT CAVOK 30/13 Q1013,OK,310.0,6.0,,,,,10000.0,,,,,,,,,,,,,,1013.0,,,,30.0,13.0
2019-04-04 21:00:00.0,METAR SBSP 042100Z 28006KT CAVOK 30/14 Q1013,OK,280.0,6.0,,,,,10000.0,,,,,,,,,,,,,,1013.0,,,,30.0,14.0
2019-04-04 22:00:00.0,METAR SBSP 042200Z 15007KT CAVOK 26/18 Q1014,OK,150.0,7.0,,,,,10000.0,,,,,,,,,,,,,,1014.0,,,,26.0,18.0
2019-04-04 23:00:00.0,METAR SBSP 042300Z 16006KT CAVOK 25/17 Q1014,OK,160.0,6.0,,,,,10000.0,,,,,,,,,,,,,,1014.0,,,,25.0,17.0
2019-04-05 00:00:00.0,METAR SBSP 050000Z 17001KT CAVOK 25/18 Q1015,OK,170.0,1.0,,,,,10000.0,,,,,,,,,,,,,,1015.0,,,,25.0,18.0
2019-04-05 01:00:00.0,METAR SBSP 050100Z 06002KT CAVOK 24/18 Q1015,OK,60.0,2.0,,,,,10000.0,,,,,,,,,,,,,,1015.0,,,,24.0,18.0
2019-04-05 02:00:00.0,METAR SBSP 050200Z 08002KT CAVOK 26/18 Q1015,OK,80.0,2.0,,,,,10000.0,,,,,,,,,,,,,,1015.0,,,,26.0,18.0
2019-04-05 03:00:00.0,METAR SBSP 050300Z  06003KT CAVOK 25/18 Q1015,OK,60.0,3.0,,,,,10000.0,,,,,,,,,,,,,,1015.0,,,,25.0,18.0
2019-04-05 04:00:00.0,METAR SBSP 050400Z  04003KT 010V070 CAVOK 25/17 Q1015,OK,40.0,3.0,,10.0,70.0,,10000.0,,,,,,,,,,,,,,1015.0,,,,25.0,17.0
2019-04-05 05:00:00.0,METAR SBSP 050500Z  01003KT CAVOK 24/16 Q1014,OK,10.0,3.0,,,,,10000.0,,,,,,,,,,,,,,1014.0,,,,24.0,16.0
2019-04-05 07:00:00.0,METAR SBSP 050700Z  03004KT 360V060 CAVOK 23/17 Q1013,OK,30.0,4.0,,360.0,60.0,,10000.0,,,,,,,,,,,,,,1013.0,,,,23.0,17.0
2019-04-05 08:00:00.0,METAR SBSP 050800Z  04004KT 020V080 CAVOK 23/17 Q1013,OK,40.0,4.0,,20.0,80.0,,10000.0,,,,,,,,,,,,,,1013.0,,,,23.0,17.0
2019-04-05 09:00:00.0,METAR SBSP 050900Z 05004KT CAVOK 23/17 Q1014,OK,50.0,4.0,,,,,10000.0,,,,,,,,,,,,,,1014.0,,,,23.0,17.0
2019-04-05 10:00:00.0,METAR SBSP 051000Z 06004KT CAVOK 23/17 Q1014,OK,60.0,4.0,,,,,10000.0,,,,,,,,,,,,,,1014.0,,,,23.0,17.0
2019-04-05 11:00:00.0,METAR SBSP 051100Z 35005KT CAVOK 25/17 Q1015,OK,350.0,5.0,,,,,10000.0,,,,,,,,,,,,,,1015.0,,,,25.0,17.0
2019-04-05 12:00:00.0,METAR SBSP 051200Z 35008KT CAVOK 27/17 Q1016,OK,350.0,8.0,,,,,10000.0,,,,,,,,,,,,,,1016.0,,,,27.0,17.0
2019-04-05 13:00:00.0,METAR SBSP 051300Z 35013KT CAVOK 28/17 Q1016,OK,350.0,13.0,,,,,10000.0,,,,,,,,,,,,,,1016.0,,,,28.0,17.0
2019-04-05 14:00:00.0,METAR SBSP 051400Z 36014KT CAVOK 29/18 Q1015,OK,360.0,14.0,,,,,10000.0,,,,,,,,,,,,,,1015.0,,,,29.0,18.0
2019-04-05 15:00:00.0,METAR SBSP 051500Z 33014KT 9999 SCT040 29/18 Q1015,OK,330.0,14.0,,,,,10000.0,,,,,,,,,4000.0,,,,,1015.0,,,,29.0,18.0
2019-04-05 16:00:00.0,METAR SBSP 051600Z 33015KT 9999 FEW047 30/18 Q1014,OK,330.0,15.0,,,,,10000.0,,,,,,,,4700.0,,,,,,1014.0,,,,30.0,18.0
2019-04-05 17:00:00.0,METAR SBSP 051700Z 33015KT 9999 SCT035 30/18 Q1013,OK,330.0,15.0,,,,,10000.0,,,,,,,,,3500.0,,,,,1013.0,,,,30.0,18.0
2019-04-05 18:00:00.0,METAR SBSP 051800Z 32012KT 9999 SCT040 30/18 Q1013,OK,320.0,12.0,,,,,10000.0,,,,,,,,,4000.0,,,,,1013.0,,,,30.0,18.0
2019-04-05 19:00:00.0,METAR SBSP 051900Z 31010KT 9999 BKN040 30/18 Q1013,OK,310.0,10.0,,,,,10000.0,,,,,,,,,,4000.0,,,,1013.0,,,,30.0,18.0
2019-04-05 20:00:00.0,METAR SBSP 052000Z 30008KT 9999 BKN045 30/18 Q1013,OK,300.0,8.0,,,,,10000.0,,,,,,,,,,4500.0,,,,1013.0,,,,30.0,18.0
2019-04-05 21:00:00.0,METAR SBSP 052100Z 29007KT 9999 SCT040 FEW045TCU 29/19 Q1014,OK,290.0,7.0,,,,,10000.0,,,,,,,,4500.0,4000.0,,,,,1014.0,,1.0,,29.0,19.0
2019-04-05 22:00:00.0,METAR SBSP 052200Z 30006KT 9999 SCT040 FEW045TCU 29/19 Q1015,OK,300.0,6.0,,,,,10000.0,,,,,,,,4500.0,4000.0,,,,,1015.0,,1.0,,29.0,19.0
2019-04-05 23:00:00.0,METAR SBSP 052300Z 33007KT 9999 SCT040 FEW045TCU 27/19 Q1016,OK,330.0,7.0,,,,,10000.0,,,,,,,,4500.0,4000.0,,,,,1016.0,,1.0,,27.0,19.0
2019-04-06 00:00:00.0,METAR SBSP 060000Z 32006KT 9999 SCT040 27/18 Q1016,OK,320.0,6.0,,,,,10000.0,,,,,,,,,4000.0,,,,,1016.0,,,,27.0,18.0
2019-04-06 01:00:00.0,METAR SBSP 060100Z 31006KT 9999 SCT035 26/19 Q1017,OK,310.0,6.0,,,,,10000.0,,,,,,,,,3500.0,,,,,1017.0,,,,26.0,19.0
2019-04-06 02:00:00.0,METAR SBSP 060200Z 33005KT CAVOK 25/19 Q1017,OK,330.0,5.0,,,,,10000.0,,,,,,,,,,,,,,1017.0,,,,25.0,19.0
2019-04-06 03:00:00.0,METAR SBSP 060300Z  31004KT CAVOK 25/19 Q1017,OK,310.0,4.0,,,,,10000.0,,,,,,,,,,,,,,1017.0,,,,25.0,19.0
2019-04-06 04:00:00.0,METAR SBSP 060400Z  31005KT 280V340 CAVOK 25/19 Q1017,OK,310.0,5.0,,280.0,340.0,,10000.0,,,,,,,,,,,,,,1017.0,,,,25.0,19.0
2019-04-06 05:00:00.0,METAR SBSP 060500Z  VRB02KT 9999 FEW032 SCT038 24/19 Q1017,OK,,2.0,,,,1.0,10000.0,,,,,,,,3200.0,3800.0,,,,,1017.0,,,,24.0,19.0
2019-04-06 06:00:00.0,METAR SBSP 060600Z  22006KT 190V260 9999 FEW007 SCT033 23/20 Q1017,OK,220.0,6.0,,190.0,260.0,,10000.0,,,,,,,,700.0,3300.0,,,,,1017.0,,,,23.0,20.0
2019-04-06 07:00:00.0,METAR SBSP 060700Z  19006KT 9999 BKN007 23/20 Q1017,OK,190.0,6.0,,,,,10000.0,,,,,,,,,,700.0,,,,1017.0,,,,23.0,20.0
2019-04-06 08:00:00.0,METAR SBSP 060800Z  19005KT 9999 FEW006 SCT010 BKN013 23/20 Q1017,OK,190.0,5.0,,,,,10000.0,,,,,,,,600.0,1000.0,1300.0,,,,1017.0,,,,23.0,20.0
2019-04-06 09:00:00.0,METAR SBSP 060900Z 19005KT 9999 BKN013 23/20 Q1018,OK,190.0,5.0,,,,,10000.0,,,,,,,,,,1300.0,,,,1018.0,,,,23.0,20.0
2019-04-06 10:00:00.0,METAR SBSP 061000Z 19007KT 9999 SCT011 SCT017 23/20 Q1018,OK,190.0,7.0,,,,,10000.0,,,,,,,,,1700.0,,,,,1018.0,,,,23.0,20.0
2019-04-06 11:00:00.0,METAR SBSP 061100Z 20003KT 9999 SCT019 24/20 Q1019,OK,200.0,3.0,,,,,10000.0,,,,,,,,,1900.0,,,,,1019.0,,,,24.0,20.0
2019-04-06 12:00:00.0,METAR SBSP 061200Z 16004KT 9999 BKN019 25/20 Q1019,OK,160.0,4.0,,,,,10000.0,,,,,,,,,,1900.0,,,,1019.0,,,,25.0,20.0
2019-04-06 13:00:00.0,METAR SBSP 061300Z 22004KT 9999 BKN023 26/20 Q1020,OK,220.0,4.0,,,,,10000.0,,,,,,,,,,2300.0,,,,1020.0,,,,26.0,20.0
2019-04-06 14:00:00.0,METAR SBSP 061400Z 16002KT 9999 BKN025 28/20 Q1019,OK,160.0,2.0,,,,,10000.0,,,,,,,,,,2500.0,,,,1019.0,,,,28.0,20.0
